,number_of_rooms,area,storey_number,total_storey_number,price,district,complex_name,year,condition
0,2,50.79,,,13205400,,Budapest,2021,
1,2,58.02,,,17115900,Есиль,Эмир,2021,
2,1,36.12,,,10474800,Есиль,Inju city,2021,
3,3,110.0,5,18,39500000,Сарыарка,Бурлин,2011,евроремонт
4,3,55.9,3,9,24500000,Есиль,Absolute,2018,евроремонт
5,2,73.0,13,14,23800000,Есиль,Номад,2014,хорошее
6,1,17.0,1,5,4900000,Есиль,Адина,2017,хорошее
7,2,56.7,3,8,27000000,Есиль,Камал,2017,евроремонт
8,1,35.6,3,5,12499000,Сарыарка,,1985,хорошее
9,2,98.0,6,18,36000000,,7 Континент,2007,хорошее
10,3,110.0,,,36725661,Есиль,Научный,2020,
11,2,50.48,,,12418080,,София,2021,
12,4,156.06,,,67876424,,Highvill Ishim,2021,
13,2,63.33,,,15199200,Есиль,Cosmic City,2021,
14,2,64.54,,,19039300,Есиль,Эмир,2021,
15,1,37.0,,,12395000,Есиль,Коркем,2019,
16,4,126.84,,,40588800,,Athletic,2021,
17,2,64.59,,,17116350,Алматы,ViewPark,2021,
18,2,70.0,,,21700000,Есиль,Коркем,2013,
19,3,114.3,,,52837292,Есиль,Grand Opera,2020,
20,2,46.5,,,13950000,,Ансар,2021,
21,2,93.57,,,74856000,Есиль,Baisanat,2019,
22,1,42.01,,,13863300,,Athletic,2021,
23,5,122.5,,,35525000,,Ансар,2021,
24,1,40.94,,,9620900,Есиль,Boston Comfort,2021,
25,3,89.42,,,21460800,,София,2021,
26,2,67.5,6,8,30000000,Есиль,Paris,2021,черновая
27,3,94.0,4,9,31800000,Есиль,Алтын Шар,2018,хорошее
28,5,235.0,3,5,155000000,,,2018,свободная
29,2,75.0,9,9,25000000,Алматы,,2006,евроремонт
30,2,76.6,4,12,32990000,Есиль,BI City,2021,
31,2,49.4,2,9,20000000,Сарыарка,Максат,2007,среднее
32,3,96.5,3,3,28000000,Алматы,,2016,хорошее
33,4,128.22,,,38720162,,Жеруйык,2021,
34,2,53.05,,,12466750,Есиль,Boston Comfort,2021,
35,3,70.0,6,6,18500000,Алматы,,1990,хорошее
36,3,73.0,5,18,27500000,Алматы,,2015,евроремонт
37,1,35.0,6,9,16800000,Есиль,Sport City,2020,
38,4,187.0,5,7,120000000,Сарыарка,,2000,требует
39,2,69.0,8,9,29300000,Есиль,,2021,черновая
40,1,68.0,1,12,15300000,Есиль,Жагалау,2010,евроремонт
41,2,114.9,,,40215000,,R Club,2022,
42,2,74.38,,,19487560,Алматы,Сенатор Park,2021,
43,1,36.58,,,12071400,,Athletic,2021,
44,2,58.5,1,9,21700000,,Nova City,2019,евроремонт
45,3,68.0,8,9,26000000,Алматы,,1992,хорошее
46,4,196.0,2,12,100000000,Есиль,Арай,2017,евроремонт
47,2,82.9,4,9,25000000,Алматы,Аулие Ата,2017,евроремонт
48,1,42.46,16,23,11336820,Алматы,Сенатор Park,2022,
49,3,82.5,5,9,33900000,,Шанырак,2007,среднее
50,1,31.3,1,3,5164500,Есиль,МЖК Астана,2021,
51,5,260.8,,,75000000,Есиль,Ак Орда,2004,евроремонт
52,2,72.0,17,35,36500000,Алматы,Хайвил Астана,2016,евроремонт
53,1,51.5,9,,16500000,Алматы,Аулие Ата,2017,евроремонт
54,1,38.01,,,11022900,Есиль,Inju city,2021,
55,3,113.0,,,37884000,Есиль,Научный,2020,
56,2,64.28,,,15427200,Есиль,Cosmic City,2021,
57,1,43.84,,,11617600,,Sapsan,2022,
58,1,40.2,,,14230800,Есиль,Коркем,2019,
59,2,46.1,,,12447000,,AiSafi,2021,
60,1,38.2,9,9,16700000,Есиль,Елорда Даму,2018,хорошее
61,3,80.0,11,12,52500000,,BI City,2018,
62,2,59.0,5,6,22000000,Алматы,,2014,евроремонт
63,3,165.6,,,57960000,,R Club,2022,
64,2,53.73,,,12626550,Есиль,Boston Comfort,2021,
65,3,80.0,6,8,33000000,Есиль,Adal,2016,черновая
66,2,65.0,4,8,27800000,Есиль,Adal,2017,евроремонт
67,4,180.0,6,7,255000000,Есиль,Baisanat,2018,евроремонт
68,3,109.0,3,7,54000000,Есиль,Жансая,2005,
69,1,39.0,2,10,18000000,Есиль,Manhattan,2019,евроремонт
70,3,98.7,2,14,59500000,Есиль,Премьера,2018,евроремонт
71,3,110.0,4,10,40000000,Алматы,Ак Шанырак,2008,хорошее
72,1,37.5,2,10,11000000,Есиль,Бухар Жырау,2021,черновая
73,2,51.0,9,9,18000000,,,1990,хорошее
74,2,64.41,14,14,14363430,Есиль,София,2021,черновая
75,4,144.0,12,16,99999000,Есиль,Park Avenue,2018,
76,2,53.77,4,9,11022850,Есиль,,2021,
77,2,64.0,3,14,28000000,Есиль,Dream City,2018,черновая
78,4,70.4,,,19008000,,AiSafi,2021,
79,1,56.6,,,15112200,Алматы,Сенатор Park,2021,
80,1,32.0,4,5,10200000,Сарыарка,,1983,хорошее
81,4,97.0,3,12,39500000,Есиль,Nova City,2020,евроремонт
82,1,32.0,4,5,8200000,Сарыарка,,1969,среднее
83,2,61.0,8,10,19500000,Есиль,Brussels,2018,черновая
84,1,35.0,2,6,10000000,Сарыарка,,1993,хорошее
85,2,74.5,8,10,24000000,Есиль,Brussels,2020,
86,2,42.0,2,5,11000000,Алматы,,1971,хорошее
87,3,87.0,2,10,40000000,Есиль,Нур Канат,2011,
88,1,39.5,6,7,12640000,Алматы,Nuraly apartments,2020,черновая
89,2,55.42,,,13023700,Есиль,Boston Comfort,2021,
90,1,48.03,,,12487800,,Budapest,2021,
91,2,61.55,,,19696000,,Athletic,2021,
92,4,190.0,,,66500000,,R Club,2022,
93,2,66.5,,,17290000,Есиль,Техникум,2020,
94,1,41.1,,,10686000,Есиль,Техникум,2020,
95,2,83.0,,,21580000,Есиль,Техникум,2020,
96,4,126.84,,,40588800,Есиль,Athletic,2021,
97,3,72.8,1,15,27800000,Алматы,,2014,
98,3,116.0,4,12,39000000,,Салтанат,2006,евроремонт
99,3,84.6,21,22,59000000,Есиль,Orynbor Towers,2018,хорошее
100,2,70.0,9,12,24000000,Алматы,Ай Су,2015,евроремонт
101,1,35.58,,,10674000,,Жеруйык,2021,
102,2,62.0,2,7,29100000,Есиль,Expo Plaza,2017,хорошее
103,1,47.7,2,10,18500000,Алматы,,2006,требует
104,2,51.65,,,22464548,,Highvill Ishim,2021,
105,3,83.89,,,19714150,Есиль,Boston Comfort,2021,
106,3,73.02,,,21540900,Есиль,Эмир,2021,
107,3,79.85,,,25552000,,Athletic,2021,
108,3,65.2,5,8,33900000,Есиль,Венский квартал,2018,евроремонт
109,1,26.0,1,3,4290000,Есиль,,2021,
110,4,123.0,10,12,42500000,Алматы,,2012,евроремонт
111,2,51.4,7,12,15650000,,Нурай,2008,свободная
112,2,42.4,,,12804800,,AiSafi,2021,
113,1,27.9,,,8649000,,Ансар,2021,
114,4,196.93,,,68925500,,R Club,2022,
115,1,36.25,,,9425000,,София,2021,
116,1,40.0,5,8,18000000,Есиль,Венский квартал,2019,евроремонт
117,3,90.0,29,32,46000000,Алматы,Хайвил Астана,2013,
118,2,76.0,10,25,42000000,Алматы,Highvill Ishim,2018,евроремонт
119,1,39.63,7,10,12000000,Есиль,,2021,
120,2,68.0,14,16,23000000,Сарыарка,Тамыз,2007,хорошее
121,3,113.0,,,37913553,Есиль,Научный,2020,
122,2,62.4,,,18096000,Есиль,Inju city,2021,
123,2,68.47,,,16432800,Есиль,Cosmic City,2021,
124,1,40.7,,,14407800,Есиль,Коркем,2019,
125,1,37.55,,,8824250,Есиль,Boston Comfort,2021,
126,2,75.52,,,19786240,Алматы,Сенатор Park,2021,
127,4,125.11,,,40035200,,Athletic,2021,
128,3,133.5,4,8,53400000,Есиль,Paris,2020,черновая
129,5,225.1,5,8,101295000,Есиль,Paris,2020,черновая
130,1,48.03,5,12,12487800,Есиль,Budapest,2021,черновая
131,3,59.0,2,14,27500000,,Light House,2018,евроремонт
132,2,50.79,2,12,13205400,Есиль,Budapest,2020,черновая
133,4,135.0,3,6,77000000,Есиль,Sultan,2016,евроремонт
134,3,84.0,4,9,30000000,Алматы,Караван,2007,хорошее
135,3,230.0,5,7,153000000,Есиль,Arman Deluxe,2017,евроремонт
136,3,100.2,3,9,33500000,Алматы,Жастар,2006,хорошее
137,3,73.0,8,9,26300000,Алматы,Отау,2005,евроремонт
138,3,77.6,5,16,31300000,Алматы,Nur Aspan,2016,евроремонт
139,2,64.0,14,18,29000000,Есиль,Зелёный квартал,2021,черновая
140,1,12.9,4,5,4500000,Алматы,,1990,требует
141,4,140.0,9,10,63350000,Есиль,Тулпар,2007,евроремонт
142,2,44.0,15,25,27700000,Алматы,Highvill Ishim,2019,евроремонт
143,1,50.09,,,13273850,,Sapsan,2022,
144,3,87.8,,,23706000,,AiSafi,2021,
145,1,48.2,,,16870000,,R Club,2022,
146,1,40.0,2,5,13800000,Сарыарка,,2007,
147,2,54.4,3,16,21300000,Алматы,Nur Aspan,2016,евроремонт
148,3,135.0,12,12,65000000,Есиль,Нурсая,2009,евроремонт
149,2,70.0,8,10,22000000,Алматы,Магистральный,2012,хорошее
150,2,58.0,4,17,25500000,Есиль,,2011,хорошее
151,3,80.0,2,14,30500000,Алматы,Кулан,2012,евроремонт
152,1,36.9,5,9,16990000,Алматы,Зерде,2010,евроремонт
153,4,76.0,2,5,25000000,Сарыарка,,1986,хорошее
154,1,36.15,,,10845000,,Жеруйык,2021,
155,1,57.3,,,15299100,Алматы,Сенатор Park,2021,
156,1,38.63,,,9078050,Есиль,Boston Comfort,2021,
157,4,137.0,3,4,45000000,Сарыарка,Титаник,2000,хорошее
158,4,118.0,11,15,41000000,Есиль,Светлый,2010,евроремонт
159,2,49.0,4,5,17500000,Алматы,,1975,евроремонт
160,3,147.0,3,7,65000000,Есиль,Central Park,2018,
161,1,44.2,7,9,17950000,Есиль,Barys City,2021,евроремонт
162,2,80.0,2,17,26500000,Алматы,Алтын Гасыр,2009,хорошее
163,3,96.0,12,15,50000000,,Коркем,2015,евроремонт
164,1,20.0,5,6,7200000,Алматы,Солнечный город,2012,среднее
165,3,85.2,7,9,30800000,Есиль,Сауран,2007,хорошее
166,3,79.2,4,10,25900000,Алматы,Азат,2012,евроремонт
167,2,120.0,6,8,58000000,Есиль,Каскад,2006,хорошее
168,1,35.28,3,9,7232400,Есиль,,2021,
